user_id,event_date,event_type,event_month,event_timestamp,cohort_month
u0001,2023-11-24,signup,2023-11,2023-11-24,2023-11
u0001,2023-11-25,support_ticket,2023-11,2023-11-25,2023-11
u0001,2023-11-30,login,2023-11,2023-11-30,2023-11
u0001,2023-12-01,feature_use,2023-12,2023-12-01,2023-11
u0001,2023-12-05,upgrade,2023-12,2023-12-05,2023-11
u0001,2023-12-08,invite_sent,2023-12,2023-12-08,2023-11
u0001,2023-12-10,login,2023-12,2023-12-10,2023-11
u0001,2023-12-16,login,2023-12,2023-12-16,2023-11
u0001,2023-12-17,feature_use,2023-12,2023-12-17,2023-11
u0001,2023-12-19,login,2023-12,2023-12-19,2023-11
u0001,2023-12-22,login,2023-12,2023-12-22,2023-11
u0001,2023-12-23,feature_use,2023-12,2023-12-23,2023-11
u0001,2023-12-27,feature_use,2023-12,2023-12-27,2023-11
u0001,2023-12-29,login,2023-12,2023-12-29,2023-11
u0001,2023-12-29,feature_use,2023-12,2023-12-29,2023-11
u0001,2023-12-30,login,2023-12,2023-12-30,2023-11
u0002,2023-01-23,signup,2023-01,2023-01-23,2023-01
u0002,2023-02-28,login,2023-02,2023-02-28,2023-01
u0002,2023-03-05,export,2023-03,2023-03-05,2023-01
u0002,2023-03-16,feature_use,2023-03,2023-03-16,2023-01
u0002,2023-05-20,support_ticket,2023-05,2023-05-20,2023-01
u0002,2023-06-23,export,2023-06,2023-06-23,2023-01
u0002,2023-07-24,login,2023-07,2023-07-24,2023-01
u0002,2023-07-28,feature_use,2023-07,2023-07-28,2023-01
u0002,2023-07-29,login,2023-07,2023-07-29,2023-01
u0002,2023-08-05,login,2023-08,2023-08-05,2023-01
u0002,2023-09-13,feature_use,2023-09,2023-09-13,2023-01
u0003,2023-05-17,signup,2023-05,2023-05-17,2023-05
u0003,2023-06-28,feature_use,2023-06,2023-06-28,2023-05
u0003,2023-07-13,upgrade,2023-07,2023-07-13,2023-05
u0003,2023-07-26,churned,2023-07,2023-07-26,2023-05
u0003,2023-10-01,upgrade,2023-10,2023-10-01,2023-05
u0003,2023-10-20,feature_use,2023-10,2023-10-20,2023-05
u0003,2023-10-28,upgrade,2023-10,2023-10-28,2023-05
u0003,2023-11-30,support_ticket,2023-11,2023-11-30,2023-05
u0004,2023-04-28,signup,2023-04,2023-04-28,2023-04
u0004,2023-05-01,feature_use,2023-05,2023-05-01,2023-04
u0004,2023-05-15,feature_use,2023-05,2023-05-15,2023-04
u0004,2023-05-22,support_ticket,2023-05,2023-05-22,2023-04
u0004,2023-05-28,feature_use,2023-05,2023-05-28,2023-04
u0004,2023-06-03,feature_use,2023-06,2023-06-03,2023-04
u0004,2023-06-04,login,2023-06,2023-06-04,2023-04
u0004,2023-06-22,invite_sent,2023-06,2023-06-22,2023-04
u0004,2023-06-24,churned,2023-06,2023-06-24,2023-04
u0004,2023-07-01,support_ticket,2023-07,2023-07-01,2023-04
u0004,2023-07-18,login,2023-07,2023-07-18,2023-04
u0004,2023-08-09,login,2023-08,2023-08-09,2023-04
