cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2023-01,25.0,21.0,22.0,15.0,13.0,12.0,11.0,11.0,9.0,5.0,3.0,1.0
2023-02,29.0,25.0,23.0,16.0,13.0,11.0,7.0,8.0,4.0,4.0,1.0,
2023-03,29.0,27.0,17.0,19.0,14.0,13.0,9.0,9.0,3.0,1.0,,
2023-04,24.0,23.0,17.0,10.0,7.0,6.0,6.0,2.0,1.0,,,
2023-05,33.0,31.0,25.0,17.0,13.0,11.0,10.0,2.0,,,,
2023-06,27.0,24.0,17.0,13.0,11.0,7.0,5.0,,,,,
2023-07,25.0,24.0,19.0,14.0,4.0,,,,,,,
2023-08,40.0,37.0,22.0,11.0,5.0,,,,,,,
2023-09,25.0,21.0,16.0,5.0,,,,,,,,
2023-10,21.0,21.0,11.0,,,,,,,,,
2023-11,22.0,21.0,,,,,,,,,,
