cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2023-01,100.0,84.0,88.0,60.0,52.0,48.0,44.0,44.0,36.0,20.0,12.0,4.0
2023-02,100.0,86.21,79.31,55.17,44.83,37.93,24.14,27.59,13.79,13.79,3.45,
2023-03,100.0,93.1,58.62,65.52,48.28,44.83,31.03,31.03,10.34,3.45,,
2023-04,100.0,95.83,70.83,41.67,29.17,25.0,25.0,8.33,4.17,,,
2023-05,100.0,93.94,75.76,51.52,39.39,33.33,30.3,6.06,,,,
2023-06,100.0,88.89,62.96,48.15,40.74,25.93,18.52,,,,,
2023-07,100.0,96.0,76.0,56.0,16.0,,,,,,,
2023-08,100.0,92.5,55.0,27.5,12.5,,,,,,,
2023-09,100.0,84.0,64.0,20.0,,,,,,,,
2023-10,100.0,100.0,52.38,,,,,,,,,
2023-11,100.0,95.45,,,,,,,,,,
