user_id,event_date,event_type
u0001,2023-11-24,signup
u0001,2023-11-25,support_ticket
u0001,2023-11-30,login
u0001,2023-12-01,feature_use
u0001,2023-12-05,upgrade
u0001,2023-12-08,invite_sent
u0001,2023-12-10,login
u0001,2023-12-16,login
u0001,2023-12-16,login
u0001,2023-12-17,feature_use
u0001,2023-12-19,login
u0001,2023-12-22,login
u0001,2023-12-23,feature_use
u0001,2023-12-27,feature_use
u0001,2023-12-29,login
u0001,2023-12-29,feature_use
u0001,2023-12-30,login
u0002,2023-01-23,signup
u0002,2023-02-28,login
u0002,2023-03-05,export
u0002,2023-03-16,feature_use
u0002,2023-05-20,support_ticket
u0002,2023-06-23,export
u0002,2023-07-24,login
u0002,2023-07-28,feature_use
u0002,2023-07-29,login
u0002,2023-08-05,login
u0002,2023-09-13,feature_use
u0003,2023-05-17,signup
u0003,2023-06-28,feature_use
u0003,2023-07-13,upgrade
u0003,2023-07-26,churned
u0003,2023-10-01,upgrade
u0003,2023-10-20,feature_use
u0003,2023-10-28,upgrade
u0003,2023-11-30,support_ticket
u0004,2023-04-28,signup
u0004,2023-05-01,feature_use
u0004,2023-05-15,feature_use
u0004,2023-05-22,support_ticket
u0004,2023-05-28,feature_use
u0004,2023-06-03,feature_use
u0004,2023-06-04,login
u0004,2023-06-22,invite_sent
u0004,2023-06-24,churned
u0004,2023-07-01,support_ticket
u0004,2023-07-18,login
u0004,2023-08-09,login
u0004,2023-09-03,feature_use
u0004,2023-09-11,login
u0004,2023-09-13,login
u0004,2023-09-17,export
u0004,2023-09-21,export
u0004,2023-09-25,feature_use
u0004,2023-09-25,feature_use
u0004,2023-09-28,churned
u0004,2023-10-06,login
u0004,2023-10-20,feature_use
u0004,2023-12-05,login
u0004,2023-12-19,feature_use
u0005,2023-10-02,signup
u0005,2023-10-05,login
u0005,2023-10-13,login
u0005,2023-10-16,export
u0005,2023-10-17,login
u0005,2023-10-19,feature_use
u0005,2023-10-22,feature_use
u0005,2023-10-23,feature_use
u0005,2023-10-23,feature_use
